loan_status,loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
N,922822,7,B,13,Own,12655914,62
N,943308,8,D,14,Own,10361290,47
N,831204,10,D,22,Own,2956002,65
N,402836,10,D,42,Mortgage,5928904,59
N,924817,9,D,25,Mortgage,2863727,64
N,94113,9,B,44,Mortgage,6146432,27
N,63134,9,C,45,Rent,4594491,41
N,502165,13,C,53,Mortgage,8744051,46
N,335600,8,D,35,Mortgage,3667738,60
N,457384,11,D,26,Rent,11787707,65
N,179338,10,A,28,Own,14595028,32
N,534188,10,B,10,Own,5967024,40
N,487222,12,A,42,Own,11809991,35
N,26638,7,C,7,Rent,8393380,49
N,636811,8,C,32,Rent,1147887,63
N,936942,7,A,38,Rent,12769797,27
N,610004,7,C,12,Rent,1118708,25
N,12354,7,D,33,Own,4632299,47
N,941005,12,A,34,Rent,12528117,30
N,885600,10,D,29,Mortgage,14689470,34
N,483665,9,B,27,Own,10401614,63
N,371732,9,D,9,Mortgage,9545388,49
N,712520,11,A,32,Own,8226173,35
N,130720,9,A,45,Mortgage,12981813,57
N,82039,8,D,37,Mortgage,8102542,56
Y,360143,7,D,31,Rent,7669539,55
Y,924749,13,C,53,Own,11073328,26
Y,513518,13,A,48,Rent,1722680,44
Y,735410,7,A,39,Mortgage,12868135,59
Y,179930,14,A,30,Own,13647367,44
Y,313209,9,B,23,Rent,9381788,58
Y,721060,10,A,8,Own,13943190,52
Y,735586,14,B,42,Mortgage,4489660,53
Y,700117,9,C,9,Rent,2682257,28
Y,497746,9,C,45,Mortgage,2550905,44
Y,498531,9,D,16,Own,4546290,52
Y,790801,13,C,37,Rent,6826877,65
Y,395199,10,D,42,Rent,12117445,33
Y,617850,14,B,32,Mortgage,13182167,41
Y,599571,14,A,44,Rent,1046502,50
Y,74495,8,B,24,Own,1157684,25
Y,553449,12,D,13,Mortgage,12125385,53
Y,800562,14,A,33,Own,14129084,54
Y,522418,13,C,34,Own,12599917,61
Y,539485,8,A,5,Own,3785495,52
Y,697423,14,B,54,Rent,1439181,45
Y,503049,10,A,31,Rent,7313500,49
Y,814419,8,C,50,Rent,13222839,64
Y,396558,13,D,23,Own,13048752,25
Y,124809,13,C,23,Own,10259443,41
Y,758312,12,C,33,Mortgage,13643718,54
Y,744403,13,B,10,Rent,14756010,58
Y,765259,14,C,19,Own,1712231,26
Y,943404,14,D,19,Rent,11741201,55
Y,162535,13,D,36,Own,9902153,27
Y,207102,13,C,48,Rent,11333109,49
Y,520070,13,A,45,Own,3289859,59
Y,407282,12,C,46,Mortgage,5543036,37
Y,742352,9,A,13,Rent,9343512,26
Y,537815,12,D,53,Mortgage,5076264,42
Y,109299,10,A,44,Rent,11349246,57
Y,234655,11,C,54,Rent,3819630,26
Y,756198,9,B,25,Rent,8723989,56
Y,36895,9,B,9,Mortgage,1588994,30
Y,46751,10,C,10,Own,14696590,52
Y,114069,14,A,50,Mortgage,13569880,59
Y,911807,10,D,16,Rent,4325705,39
Y,311418,7,A,54,Rent,5414110,56
Y,127461,11,B,37,Rent,1884808,40
Y,56078,8,A,44,Mortgage,1297157,52
Y,401248,11,C,25,Rent,7765563,64
Y,938949,11,D,18,Own,801322,33
Y,704546,8,C,18,Own,8288373,36
Y,907171,10,D,32,Rent,7043244,33
Y,775176,8,C,7,Own,1721477,43
Y,706891,10,A,33,Rent,14822226,28
Y,578625,9,B,25,Rent,6575965,40
Y,633260,9,A,10,Mortgage,9683671,36
Y,361962,9,B,8,Rent,5459582,42
Y,132344,11,C,36,Own,2606594,45
Y,846609,14,A,48,Rent,774895,35
Y,662205,12,A,27,Rent,6629295,45
Y,856740,8,B,52,Own,7970403,45
Y,54857,14,D,28,Own,8804642,65
Y,799257,11,A,31,Own,2790485,53
Y,705965,11,D,6,Rent,4668422,30
Y,420527,10,D,31,Mortgage,7278301,50
Y,188817,10,A,37,Own,10325495,40
Y,269117,13,B,27,Own,11196550,53
Y,113171,9,B,33,Own,4381269,35
Y,672729,13,A,23,Own,5178788,46
Y,99088,9,C,5,Own,13460130,53
Y,370997,13,B,34,Rent,719690,28
Y,58163,8,A,32,Own,8161987,36
Y,78144,11,D,43,Own,13287997,52
Y,826759,8,C,17,Mortgage,826787,60
Y,355806,9,D,51,Rent,872980,60
Y,708861,14,A,21,Mortgage,9401043,44
Y,795218,7,C,25,Own,10617492,45
Y,509003,11,A,43,Rent,13565126,33
Y,785454,7,D,35,Mortgage,6257276,37
Y,261031,10,A,43,Own,7594674,40
Y,296174,12,D,54,Rent,1250059,59
Y,787319,8,A,40,Rent,7199194,28
Y,229197,10,B,11,Mortgage,10604613,34
Y,489191,9,A,7,Own,1937611,25
Y,350990,14,D,54,Rent,4682630,52
Y,304168,8,D,30,Rent,7189246,42
Y,170355,14,A,9,Mortgage,4049611,39
Y,326055,9,D,9,Own,8661434,59
Y,937793,10,A,42,Mortgage,9113556,34
Y,263293,14,A,36,Mortgage,11986439,38
Y,381238,12,B,22,Own,2085485,46
Y,16119,12,A,11,Rent,5516697,36
Y,296656,8,B,17,Rent,11865252,60
Y,293004,10,A,5,Mortgage,11376218,25
Y,938061,11,A,6,Own,11396006,57
Y,844080,14,D,25,Own,5235876,51
Y,117538,8,C,7,Rent,10298273,48
Y,659733,11,C,32,Mortgage,10448191,32
Y,351493,9,A,18,Mortgage,10495927,57
Y,293390,8,A,22,Own,3573365,30
Y,939391,10,D,48,Rent,3149877,43
Y,806351,8,A,5,Own,12691241,43
Y,499422,7,B,11,Rent,486509,44
Y,795790,10,A,27,Mortgage,3798443,49
Y,135298,11,D,7,Rent,12171005,46
Y,283945,10,D,10,Rent,2848602,60
Y,786734,13,D,37,Rent,2681212,33
Y,932569,11,A,42,Mortgage,9600497,30
Y,367881,10,D,16,Mortgage,8333127,37
Y,899156,9,A,44,Own,5458144,29
Y,874929,7,D,14,Own,13748468,42
Y,875059,8,C,52,Mortgage,7923315,59
Y,623159,14,D,38,Mortgage,711812,32
Y,624253,10,B,50,Own,7863131,54
Y,269609,14,B,27,Own,2027981,32
Y,134213,12,C,42,Rent,11353936,28
Y,672076,7,D,16,Own,13413884,39
Y,836646,12,A,11,Mortgage,1397642,52
Y,185215,8,B,46,Own,2083767,56
Y,563273,11,B,14,Own,2075361,47
Y,170148,13,D,14,Own,471797,64
Y,111766,14,B,8,Mortgage,13180239,25
Y,476932,12,B,13,Own,1608913,44
Y,596496,10,B,26,Mortgage,4857957,61
Y,559843,8,B,31,Own,9740468,57
Y,173320,11,B,41,Mortgage,7018375,64
Y,873410,13,A,23,Mortgage,5451319,28
Y,250601,8,A,45,Mortgage,7335461,31
Y,687567,13,D,29,Rent,6075432,29
Y,642024,8,D,55,Rent,14611498,28
Y,215623,10,C,14,Mortgage,14434009,54
Y,907718,7,C,47,Mortgage,11130421,49
Y,577290,11,C,18,Own,3020631,64
Y,767388,8,D,37,Own,14728661,35
Y,662052,7,C,45,Rent,8374763,33
Y,830217,9,A,34,Rent,14980909,56
Y,291066,12,A,55,Mortgage,2669120,26
Y,563516,10,C,20,Own,3777212,60
Y,581003,8,D,48,Own,7586178,39
Y,373637,8,B,6,Mortgage,9222251,47
Y,582766,8,B,13,Own,11795194,47
Y,521678,8,A,31,Own,11789099,29
Y,644381,13,D,30,Own,9411563,36
Y,18830,9,D,27,Mortgage,14279955,26
Y,84995,7,B,55,Own,1405146,56
Y,447533,7,D,20,Mortgage,7521788,44
Y,434447,13,D,7,Rent,10499977,57
Y,89803,8,A,18,Mortgage,10612242,45
Y,230362,14,D,26,Mortgage,7221650,27
Y,685789,14,A,51,Mortgage,3339526,56
Y,83930,13,D,17,Mortgage,7396801,58
Y,896752,12,C,26,Rent,1856714,57
Y,672096,9,B,27,Rent,9271555,63
Y,578943,9,A,26,Mortgage,1419480,28
Y,605116,11,A,22,Mortgage,2084434,61
Y,482956,12,C,37,Mortgage,6056589,29
Y,668574,8,A,6,Rent,13248053,30
Y,842611,7,C,22,Mortgage,598328,43
Y,438251,7,C,37,Own,1402068,35
Y,176597,14,B,9,Rent,14774408,36
Y,113524,10,B,23,Rent,6287384,27
Y,245498,8,C,42,Mortgage,1428144,26
Y,760496,9,C,49,Own,11844327,38
Y,650690,12,C,36,Mortgage,14671722,28
Y,406503,13,B,54,Own,14838201,54
Y,158947,14,D,44,Rent,8904600,56
Y,488205,10,C,55,Mortgage,12642084,35
Y,537541,7,B,41,Own,9605266,43
Y,27434,13,A,32,Rent,5931303,58
Y,759954,12,D,15,Rent,8982780,44
Y,88419,9,B,40,Mortgage,12303321,54
Y,765511,10,C,26,Own,14288147,51
Y,131506,14,C,6,Own,12876466,56
Y,202574,14,B,48,Own,8970002,28
Y,120032,12,A,19,Own,8750545,30
Y,344491,8,A,51,Own,10525837,60
Y,98017,12,D,18,Rent,3824469,53
Y,788566,12,A,44,Rent,3937682,55
Y,561667,13,A,45,Own,10897459,47
Y,372093,14,C,7,Mortgage,959507,50
Y,841338,12,D,55,Rent,9820446,41
Y,572028,10,B,5,Mortgage,2891433,51
Y,665007,11,D,37,Mortgage,12248789,46
Y,834887,8,C,18,Mortgage,3534751,65
Y,772826,11,C,9,Own,2707020,64
Y,203254,9,B,15,Mortgage,647627,29
Y,914190,8,B,22,Mortgage,2627014,34
Y,253054,13,D,24,Mortgage,4971924,63
Y,217217,14,D,22,Rent,4572498,34
Y,98064,7,D,29,Own,7357343,55
Y,858465,9,A,5,Rent,824878,51
Y,525816,8,D,34,Rent,481620,63
Y,79204,9,C,46,Mortgage,10231864,60
Y,624338,13,C,11,Own,14112520,30
Y,865440,7,A,35,Rent,5012063,25
Y,829662,8,C,22,Mortgage,8298533,42
Y,619859,9,D,8,Own,1878791,57
Y,619578,9,B,32,Own,4416915,30
Y,635570,11,D,7,Rent,9818125,58
Y,264231,13,C,42,Own,6871685,38
Y,255844,8,B,16,Own,5473183,62
Y,673907,11,A,54,Own,1473277,40
Y,727689,13,D,19,Rent,5515906,35
Y,819423,11,A,9,Mortgage,12468870,25
Y,346666,8,C,55,Mortgage,11310295,59
Y,944032,14,D,10,Rent,9231029,30
Y,257864,7,D,46,Own,3128751,34
Y,755603,13,D,5,Own,11340786,30
Y,73671,12,A,10,Mortgage,14358960,65
Y,337775,11,C,28,Own,12516146,59
Y,581184,12,C,31,Rent,1788345,65
Y,548608,8,A,22,Mortgage,13627966,45
Y,454481,7,D,52,Mortgage,1211328,33
Y,169503,13,C,11,Own,13765126,55
Y,789939,14,A,28,Rent,1739849,55
Y,366326,8,C,21,Mortgage,14871826,28
Y,45121,8,D,25,Rent,8248426,39
Y,276992,7,A,17,Own,12078908,25
Y,949540,10,C,45,Rent,289517,62
Y,614036,10,B,29,Rent,9731768,62
Y,915434,9,D,39,Own,10206438,41
Y,372591,9,A,19,Own,13112456,32
Y,46924,8,A,53,Own,13123542,56
Y,497172,10,A,42,Mortgage,1523553,50
Y,478707,13,D,41,Rent,144380,53
Y,606306,7,A,40,Own,2472164,28
Y,399107,9,C,22,Mortgage,6867536,57
Y,225096,12,C,6,Mortgage,9690205,56
Y,891490,10,B,52,Mortgage,6468607,53
Y,225761,10,A,13,Mortgage,13906059,55
Y,566274,11,B,45,Mortgage,1974481,36
Y,773222,12,C,42,Rent,11056503,61
Y,881103,7,C,24,Own,13818602,60
Y,71893,13,C,55,Mortgage,1937048,47
Y,21579,9,B,48,Mortgage,6744242,49
Y,552355,8,C,18,Own,13428719,36
Y,406613,7,D,8,Own,8766970,32
Y,913834,7,D,23,Own,13149319,30
Y,888660,8,C,33,Own,10527313,32
Y,390886,11,D,7,Own,10477404,64
Y,540119,9,B,47,Mortgage,6512716,60
Y,522744,7,B,31,Rent,9441202,50
Y,315537,9,C,11,Own,2069313,55
Y,69973,10,C,16,Mortgage,4834744,29
Y,822414,14,C,47,Mortgage,3748337,32
Y,532749,11,D,25,Mortgage,1072019,54
Y,52557,7,B,28,Mortgage,688964,63
Y,214521,12,A,44,Rent,8727166,44
Y,806741,11,A,20,Rent,13645338,53
Y,50740,13,B,20,Rent,10550794,32
Y,794847,13,D,29,Rent,8007237,60
Y,462498,7,D,13,Mortgage,7162724,50
Y,642222,9,B,12,Own,1742730,25
Y,807743,10,A,40,Own,14654915,27
Y,354988,14,B,16,Rent,2674589,61
Y,911627,8,B,33,Rent,13632774,37
Y,121780,10,B,30,Own,2603360,34
Y,620025,14,A,33,Mortgage,1408067,48
Y,558792,14,B,55,Own,7697606,49
Y,26766,7,D,10,Mortgage,13364689,55
Y,845525,14,C,23,Own,3649313,45
Y,575504,7,A,18,Own,14194193,60
Y,470251,8,C,36,Own,12428725,50
Y,32683,12,D,44,Rent,13287861,31
Y,592956,14,A,19,Mortgage,3826628,30
Y,297942,13,A,42,Mortgage,3886522,44
Y,365084,12,B,28,Mortgage,13561335,58
Y,769930,10,D,32,Own,9649228,36
Y,728078,10,D,31,Mortgage,4983908,27
Y,140459,8,C,13,Mortgage,3109309,44
Y,170669,13,A,20,Mortgage,12577736,57
Y,617887,10,C,46,Own,2459920,28
Y,548351,11,C,23,Rent,10819930,49
Y,748081,12,C,25,Rent,12631155,26
Y,520647,14,C,19,Own,2888707,51
Y,709486,8,C,42,Mortgage,4412580,36
Y,762804,14,A,9,Rent,4613056,51
Y,157664,7,A,54,Rent,13982653,40
Y,908831,10,D,49,Mortgage,9580364,34
Y,271724,9,A,6,Mortgage,8121097,51
Y,187657,12,A,50,Rent,3978442,43
Y,418439,9,C,17,Mortgage,7680260,37
Y,285823,8,A,37,Rent,3769267,57
Y,320038,11,D,16,Rent,3370290,29
Y,370160,9,C,23,Own,2543380,34
Y,300027,12,A,38,Own,4458597,59
Y,348667,11,A,33,Own,3516478,61
Y,247039,12,C,16,Own,7518787,44
Y,578821,14,D,16,Rent,3908582,41
Y,631328,9,B,11,Own,11708713,56
Y,341376,12,D,46,Mortgage,8349632,64
Y,871562,10,C,28,Rent,10631058,62
Y,229480,13,B,38,Rent,2501024,65
Y,478925,13,C,40,Mortgage,10649707,52
Y,395946,12,C,18,Rent,11170699,38
Y,151365,10,A,42,Mortgage,12852951,63
Y,354331,10,C,28,Mortgage,9112265,51
Y,768020,12,A,34,Own,9952547,49
Y,875736,14,B,10,Own,367178,64
Y,716743,9,D,27,Rent,3703564,40
Y,198620,12,A,40,Rent,1596554,29
Y,864475,14,B,42,Rent,7503807,54
Y,241200,13,D,38,Rent,14503694,49
Y,256927,7,D,35,Mortgage,7547432,34
Y,571202,12,A,35,Mortgage,6745924,57
Y,711886,14,D,16,Own,14118147,35
Y,398426,14,C,50,Own,5699912,41
Y,561337,8,A,39,Own,4598535,29
Y,909904,10,B,6,Own,3319375,26
Y,341221,14,B,35,Own,10642054,50
Y,361555,14,C,42,Rent,4203004,57
Y,611781,8,A,6,Rent,10842844,58
Y,699224,12,A,48,Own,9453900,53
Y,770092,7,D,26,Rent,8776994,37
Y,369851,9,A,54,Own,4121905,46
Y,876355,12,D,53,Own,8304870,33
Y,313518,10,D,18,Own,7587088,35
Y,270602,9,D,51,Own,9592993,42
Y,400469,11,C,31,Own,5894794,52
Y,943615,12,B,39,Rent,6487943,59
Y,770163,11,D,21,Own,14730918,57
Y,736692,14,B,32,Own,11166143,60
Y,276394,10,C,9,Rent,5597673,28
Y,765205,7,C,13,Mortgage,3855440,32
Y,688424,14,B,19,Own,1740811,65
Y,327086,8,B,25,Rent,222255,27
Y,462539,11,B,18,Mortgage,11356152,31
Y,883586,12,C,29,Own,8229465,28
Y,910220,8,A,7,Own,5995057,51
Y,269762,11,A,44,Mortgage,6585933,51
Y,806046,10,A,5,Mortgage,6404150,44
Y,159262,11,B,40,Mortgage,1245456,53
Y,929136,12,C,51,Mortgage,3429440,45
Y,80761,7,B,47,Mortgage,13908393,46
Y,805796,12,D,33,Mortgage,8381106,40
Y,936675,11,B,39,Own,10033774,52
Y,640266,11,B,12,Rent,3928806,36
Y,946536,10,C,13,Rent,7902388,42
Y,221641,13,C,33,Own,2643250,57
Y,484533,13,B,12,Own,8820921,60
Y,32052,11,D,48,Own,12555084,57
Y,592105,12,D,16,Own,519038,61
Y,73837,9,B,53,Own,10070235,54
Y,52354,7,A,48,Own,11003644,39
Y,439444,9,C,48,Own,1463753,34
Y,812442,7,A,11,Own,11464043,35
Y,700927,9,B,43,Mortgage,12600303,56
Y,535441,7,C,37,Own,8947831,45
Y,853419,7,A,11,Own,3166020,61
Y,616549,10,A,41,Mortgage,6815522,51
Y,215671,11,D,43,Own,665787,26
Y,490721,12,D,43,Rent,1905976,34
Y,783803,8,B,18,Mortgage,4291417,37
Y,754683,9,C,42,Own,9572239,32
Y,327872,9,B,5,Own,878388,63
Y,64110,10,C,13,Own,6617915,39
Y,766758,9,C,55,Mortgage,2066783,49
Y,520258,10,B,30,Mortgage,8471117,65
Y,29650,13,D,19,Own,2521558,57
Y,519990,11,D,11,Rent,3479515,47
Y,673209,11,A,15,Rent,5330172,53
Y,772962,14,D,13,Rent,9564353,65
Y,607928,14,D,8,Own,10189341,44
Y,883234,8,C,5,Rent,183045,55
Y,316385,9,B,46,Rent,14533688,62
Y,553114,13,A,10,Rent,14718041,29
Y,194559,12,C,14,Rent,10584778,62
Y,938619,10,C,8,Own,11196451,46
Y,620332,8,C,51,Mortgage,10266494,49
Y,894935,9,C,19,Rent,2916426,50
Y,373311,7,A,29,Own,12650437,32
Y,681300,14,A,18,Mortgage,10746457,49
Y,247683,14,A,43,Own,9224953,60
Y,218423,14,A,53,Rent,12824747,38
Y,751393,8,A,12,Own,13439813,65
Y,698106,10,B,36,Rent,12801053,31
Y,501996,12,D,43,Own,2602202,58
Y,394261,12,D,41,Own,2595545,59
Y,395710,8,A,15,Own,3763984,50
Y,367200,13,A,38,Mortgage,9656597,38
Y,398812,11,A,11,Rent,5213508,46
Y,344285,13,D,34,Mortgage,1556913,46
Y,185785,12,C,11,Mortgage,7092383,61
Y,846863,13,D,7,Rent,7030814,28
Y,857521,9,A,52,Mortgage,7536300,45
Y,300322,8,C,49,Mortgage,5014380,54
Y,712034,7,B,17,Own,12476346,44
Y,807143,8,D,20,Mortgage,3296678,47
Y,290741,10,A,41,Rent,2731872,49
Y,888352,12,C,16,Rent,4229339,61
Y,604001,13,C,55,Own,3634018,31
Y,56291,8,A,52,Rent,10025498,52
Y,805264,13,B,27,Mortgage,7250360,62
Y,564691,10,B,46,Rent,11671534,32
Y,106908,11,A,23,Mortgage,3566205,50
Y,165166,8,C,30,Rent,8391110,53
Y,392788,9,A,15,Mortgage,9161611,28
Y,733739,11,A,29,Rent,257885,33
Y,75056,13,C,32,Own,7707037,59
Y,219429,7,A,29,Rent,5387288,55
Y,330121,13,C,17,Own,4001951,31
Y,582557,9,C,53,Rent,11535424,49
Y,543535,12,D,26,Own,8202772,55
Y,125344,10,D,5,Mortgage,13023816,64
Y,945217,14,A,53,Own,14227738,47
Y,580879,11,D,26,Mortgage,372679,29
Y,134103,14,D,55,Mortgage,8639582,35
Y,829306,8,A,42,Mortgage,8724668,48
Y,556090,9,A,7,Rent,1043482,31
Y,42608,8,B,35,Mortgage,8732870,39
Y,787532,11,D,22,Own,1429131,26
Y,231508,14,D,27,Rent,3747032,44
Y,734955,10,C,30,Own,8764861,63
Y,251120,14,C,45,Own,6712061,28
Y,32546,10,A,10,Rent,13880879,45
Y,548558,10,C,46,Rent,8594786,34
Y,689553,11,A,41,Rent,11381770,54
Y,485727,13,C,51,Mortgage,5352973,50
Y,139401,11,C,51,Own,14127569,27
Y,874282,9,B,28,Mortgage,1173115,30
Y,315140,11,D,53,Own,13239418,33
Y,750309,7,C,31,Own,5612356,61
Y,293825,13,B,16,Rent,12603699,35
Y,178782,8,D,32,Rent,4890149,26
Y,322658,8,B,33,Rent,8076617,44
Y,534485,8,A,36,Own,8086082,32
Y,291335,11,D,50,Mortgage,7027713,43
Y,348133,13,D,13,Rent,5705676,59
Y,804806,9,B,11,Mortgage,14027678,32
Y,258555,10,A,44,Own,13397509,47
Y,938154,7,A,18,Own,14924867,30
Y,833783,10,A,18,Mortgage,7811375,35
Y,696534,9,D,15,Mortgage,2724254,36
Y,498857,10,B,24,Mortgage,14834225,47
Y,707054,13,B,30,Rent,429680,45
Y,745196,8,A,53,Mortgage,6943605,56
Y,230262,7,C,23,Mortgage,10882958,50
Y,785351,7,C,27,Own,3683149,60
Y,411647,10,A,6,Rent,3164743,43
Y,889182,9,B,48,Own,7478230,30
Y,935368,11,D,6,Own,2671312,57
Y,701951,10,C,49,Mortgage,9991763,42
Y,375271,14,C,38,Rent,4423985,38
Y,766456,14,D,50,Rent,3773530,61
Y,273103,13,D,41,Mortgage,7871514,27
Y,541301,11,C,8,Own,5432121,40
Y,154007,9,C,24,Own,10408391,25
Y,614327,8,A,23,Own,13831453,54
Y,794928,8,A,8,Own,11275051,45
Y,374573,10,A,30,Rent,829546,51
Y,908345,12,D,17,Rent,1853286,56
Y,145231,11,C,54,Rent,9410293,46
Y,316215,9,C,46,Own,7525903,60
Y,126339,13,B,28,Mortgage,14628845,46
Y,869262,8,D,45,Mortgage,10574247,31
Y,781402,10,C,24,Mortgage,6560174,45
Y,787059,7,C,53,Mortgage,5370954,44
Y,182696,11,C,32,Rent,4570708,45
Y,920963,12,A,55,Own,1536376,43
Y,632433,9,D,5,Mortgage,13890409,64
Y,322290,7,C,8,Own,4180633,52
Y,651537,14,D,11,Mortgage,275449,29
Y,795367,9,B,39,Own,1700500,63
Y,422260,8,C,25,Mortgage,410635,64
Y,45443,10,B,45,Own,3163076,63
Y,75980,14,D,19,Mortgage,9279962,33
Y,248520,8,D,51,Own,3820944,42
Y,808469,12,B,9,Rent,13290492,48
Y,708100,14,A,55,Own,9658430,56
Y,191665,13,A,38,Mortgage,12459575,63
Y,432992,8,C,21,Mortgage,13492136,28
Y,223350,11,B,31,Own,5036970,36
Y,370580,10,C,20,Own,14112027,29
Y,183443,10,A,30,Mortgage,14330710,40
Y,690492,14,C,43,Own,5486596,60
Y,765819,11,D,43,Mortgage,3031544,60
Y,651780,14,A,53,Rent,6028934,36
Y,918953,10,B,53,Own,12725547,25
Y,719424,14,C,48,Own,10969719,35
Y,29060,9,D,44,Own,11154558,65
Y,210939,7,C,53,Rent,4435099,58
Y,193851,11,D,7,Rent,12247203,53
Y,735909,13,B,18,Mortgage,5764201,47
Y,402160,11,D,25,Mortgage,4852996,43
Y,398187,13,D,16,Rent,11810463,40
Y,588166,7,B,43,Mortgage,610438,42
Y,636973,10,B,24,Mortgage,10238237,32
Y,521315,13,C,23,Mortgage,7258494,40
Y,376144,10,D,8,Rent,13077992,34
Y,761461,7,A,53,Own,13674583,25
Y,275648,10,D,10,Mortgage,14860473,30
Y,119084,9,B,25,Mortgage,9647895,32
Y,538792,12,B,11,Own,8052082,30
Y,639501,13,C,54,Own,9447037,59
Y,368709,9,D,48,Rent,2604359,65
Y,541155,10,C,20,Own,9567579,57
Y,284226,10,D,26,Mortgage,5056746,36
Y,319752,7,A,45,Own,901974,39
Y,841970,12,B,33,Own,2159003,27
Y,308984,12,D,21,Own,3405635,48
Y,592716,8,A,46,Own,9478440,57
Y,543398,11,B,55,Mortgage,9841424,55
